height,found_at,value,user_reward
688184,2021-06-19 13:33:49,6.46227095,0.00044179
688204,2021-06-19 19:12:12,6.6551498,0.0004778
688221,2021-06-19 22:57:43,6.51818373,0.00045254
688263,2021-06-20 08:36:42,6.41490665,0.00044605
688280,2021-06-20 12:24:02,6.45396498,0.00047213
688292,2021-06-20 14:30:26,6.43479824,0.00044434
688306,2021-06-20 16:55:51,6.45003937,0.00046549
688322,2021-06-20 21:43:41,6.37974546,0.00045834
688381,2021-06-21 11:26:56,6.5934057,0.00046432
688383,2021-06-21 12:23:01,6.82968743,0.00049647
688392,2021-06-21 15:48:00,6.90554315,0.00050678
688398,2021-06-21 17:19:20,6.71031764,0.00040368
688404,2021-06-21 17:58:44,6.58695277,0.00045227
688415,2021-06-21 19:42:34,6.70816261,0.00036934
688418,2021-06-21 19:54:41,6.50261409,0.00038947
688420,2021-06-21 20:01:20,6.58776372,0.0004205
688437,2021-06-22 01:08:29,7.21143671,0.00054868
688455,2021-06-22 05:21:13,6.58574216,0.00047202
688462,2021-06-22 06:24:14,6.40739223,0.0004528
688464,2021-06-22 07:33:32,6.89084382,0.00050419
688473,2021-06-22 09:11:20,6.58576673,0.00047761
688572,2021-06-23 09:11:42,6.55761415,0.00046326
688581,2021-06-23 11:07:32,6.6024953,0.00047368
688597,2021-06-23 15:28:45,6.80608026,0.00049907
688609,2021-06-23 19:10:10,6.86199548,0.00049016
688616,2021-06-23 20:51:12,6.74382774,0.000494
688617,2021-06-23 21:10:55,7.05694431,0.00049918
688640,2021-06-24 02:02:02,6.82559295,0.00047868
688677,2021-06-24 11:18:30,6.35795023,0.0004462
688685,2021-06-24 13:46:51,6.89646852,0.00049129
688688,2021-06-24 14:27:01,6.81734357,0.00047585
688792,2021-06-25 13:58:13,6.53190579,0.00029647
688810,2021-06-25 17:52:29,6.92642331,0.0005048
688817,2021-06-25 19:04:34,6.38058683,0.00045862
688847,2021-06-26 00:43:32,6.40657225,0.00046262
688849,2021-06-26 01:33:25,6.36327005,0.00046418
688859,2021-06-26 05:12:51,6.82100516,0.00046772
688874,2021-06-26 07:43:33,6.36462424,0.00045407
688890,2021-06-26 10:54:56,6.2749606,0.00045178
688898,2021-06-26 14:36:08,6.63534868,0.00046618
688928,2021-06-26 23:26:58,6.38450712,0.00046398
688936,2021-06-27 02:56:25,6.83598112,0.00048361
688947,2021-06-27 06:58:52,6.39322351,0.00046138
688958,2021-06-27 09:42:15,6.28847299,0.00045004
688983,2021-06-27 18:02:36,6.66644606,0.00049863
688993,2021-06-28 01:16:58,6.86202497,0.00049124
689093,2021-06-29 01:53:15,6.52422626,0.00046912
689107,2021-06-29 07:09:00,6.88905294,0.00048459
689119,2021-06-29 10:20:00,7.06724401,0.00048648
689143,2021-06-29 17:42:20,6.94743363,0.00052399
689186,2021-06-30 05:09:33,6.92824549,0.00050372
689192,2021-06-30 07:15:28,6.8435253,0.00048565
689238,2021-06-30 18:01:43,7.11167582,0.00049847
689327,2021-07-01 19:18:04,7.08922423,0.00049949
689345,2021-07-01 22:49:55,7.15911426,0.0004948
689398,2021-07-02 10:50:53,6.88500277,0.00048397
689414,2021-07-02 15:35:49,7.16310736,0.00051214
689418,2021-07-02 16:37:29,7.11477603,0.00049746
689429,2021-07-02 19:21:59,7.16730052,0.00052132
689442,2021-07-02 23:49:12,7.11326919,0.00049409
689458,2021-07-03 03:48:21,6.82801567,0.00045633
689467,2021-07-03 05:50:34,6.52766157,0.00044276
689481,2021-07-03 08:09:06,6.47755277,0.0004609
689489,2021-07-03 10:25:20,6.51672424,0.00045457
689533,2021-07-03 18:10:36,6.8438967,0.00046562
689562,2021-07-03 22:52:02,6.37706639,0.00043008
689578,2021-07-04 02:54:47,6.6297966,0.00045158
689641,2021-07-04 14:08:23,6.53128007,0.0004463
689643,2021-07-04 14:26:31,6.29981977,0.00041927
689660,2021-07-04 18:41:54,6.49688689,0.00043243
689663,2021-07-04 19:42:32,6.41213991,0.00043282
689667,2021-07-04 20:25:52,6.336896,0.00043551
689678,2021-07-04 22:18:50,7.15802247,0.00047105
689681,2021-07-04 22:52:23,6.36804645,0.00042998
689685,2021-07-05 00:01:34,6.79012116,0.00047468
689742,2021-07-05 10:18:10,6.29678643,0.00044841
689771,2021-07-05 15:38:56,6.42490155,0.00044354
689775,2021-07-05 16:11:41,6.47531028,0.00044545
689821,2021-07-06 00:50:25,6.28499111,0.00044908
689841,2021-07-06 05:50:52,6.78286355,0.00048565
689850,2021-07-06 07:23:52,6.94632692,0.00048524
689856,2021-07-06 07:48:15,6.42482883,0.00045105
689870,2021-07-06 10:14:32,6.27094773,0.00041562
689873,2021-07-06 10:24:40,6.30730372,0.00042429
689874,2021-07-06 10:29:44,6.44330245,0.00044382
689899,2021-07-06 14:18:45,6.30251996,0.00044799
689961,2021-07-07 00:53:38,6.39778875,0.00045617
